,Title,Singer,Img,Mp3,Link
11,Giá Như,Chillies,https://data.chiasenhac.com/data/cover/134/133111.jpg,https://data.chiasenhac.com/down2/2142/6/2141830-78bdb505/128/Gia%20Nhu%20-%20Chillies.mp3,https://vi.chiasenhac.vn/nghe-album/gia-nhu-single-xss7zqbsqt1eq4.html
12,Đừng (Don't Do It),Tăng Duy Tân and Bofie,https://data.chiasenhac.com/data/cover/134/133102.jpg,https://data.chiasenhac.com/down2/2142/6/2141803-b5d803a2/128/Dung%20Don_t%20Do%20It_%20-%20Tang%20Duy%20Tan_%20Bofie.mp3,https://vi.chiasenhac.vn/nghe-album/dung-dont-do-it-singer-xss7zqbdqt1eqm.html
13,Khi Nào Anh Ghé Chơi,Phương Trinh Jolie and Mr White,https://data.chiasenhac.com/data/cover/134/133101.jpg,https://data.chiasenhac.com/down2/2142/6/2141801-0941ba7b/128/Khi%20Nao%20Anh%20Ghe%20Choi%20-%20Phuong%20Trinh%20Joli.mp3,https://vi.chiasenhac.vn/nghe-album/khi-nao-anh-ghe-choi-singer-xss7zqbqqt1eqe.html
14,Thương Anh,Trang Yue and B Ray,https://data.chiasenhac.com/data/cover/134/133100.jpg,https://data.chiasenhac.com/down2/2142/6/2141799-38bd7777/128/Thuong%20Anh%20-%20Trang%20Yue_%20B%20Ray.mp3,https://vi.chiasenhac.vn/nghe-album/thuong-anh-singer-xss7zqbtqt1eqf.html
15,Xa,P.M Band,https://data.chiasenhac.com/data/cover/134/133092.jpg,https://data.chiasenhac.com/down2/2142/6/2141747-91ece7f4/128/Xa%20-%20P_M%20Band.mp3,https://vi.chiasenhac.vn/nghe-album/xa-single-xss7zqc7qt1evt.html
16,Nghĩa Vụ Con Đi,Mạnh Hakyno and Quốc Minh,https://data.chiasenhac.com/data/cover/134/133091.jpg,https://data.chiasenhac.com/down2/2142/6/2141746-0c378779/128/Nghia%20Vu%20Con%20Di%20-%20Manh%20Hakyno_%20Quoc%20Minh.mp3,https://vi.chiasenhac.vn/nghe-album/nghia-vu-con-di-single-xss7zqcmqt1ev8.html
17,Mùa Đông Xa Cách,Hamlet Trương,https://data.chiasenhac.com/data/cover/134/133090.jpg,https://data.chiasenhac.com/down2/2142/6/2141745-6ea5efa4/128/Mua%20Dong%20Xa%20Cach%20-%20Hamlet%20Truong.mp3,https://vi.chiasenhac.vn/nghe-album/loves-over-lets-cover-xss7zqcwqt1ev9.html
18,Mùa Đông Và Mưa,3288,https://data.chiasenhac.com/data/cover/134/133073.jpg,https://data.chiasenhac.com/down2/2142/6/2141628-8cf4d1aa/128/Mua%20Dong%20Va%20Mua%20-%203288.mp3,https://vi.chiasenhac.vn/nghe-album/mua-dong-va-mua-single-xss7zqdrqt1ema.html
19,Ánh Sáng Đời Tôi (Cover),Trà Ngọc Hằng,https://data.chiasenhac.com/data/cover/134/133072.jpg,https://data.chiasenhac.com/down2/2142/6/2141627-decd24d4/128/Anh%20Sang%20Doi%20Toi%20Cover_%20-%20Tra%20Ngoc%20Hang.mp3,https://vi.chiasenhac.vn/nghe-album/anh-sang-doi-toi-cover-single-xss7zqdbqt1emq.html
20,Gửi Ông Già Noel,Super 9 and  Luna and  Hannie,https://data.chiasenhac.com/data/cover/134/133058.jpg,https://data.chiasenhac.com/down2/2142/6/2141560-3cc5fd23/128/Gui%20Ong%20Gia%20Noel%20-%20Super%209_%20Luna_%20Hannie.mp3,https://vi.chiasenhac.vn/nghe-album/gui-ong-gia-noel-single-xss7zqqwqt1ee9.html
21,Đông Lạnh Có Em,Thái Phương D.A,https://data.chiasenhac.com/data/cover/134/133052.jpg,https://data.chiasenhac.com/down2/2142/6/2141542-175fa760/128/Dong%20Lanh%20Co%20Em%20-%20Thai%20Phuong%20D_A.mp3,https://vi.chiasenhac.vn/nghe-album/dong-lanh-co-em-single-xss7zqqtqt1eef.html
22,Ta Tuyệt Nhất Mà,Trần Tuấn Kha and Fer and Jimi,https://data.chiasenhac.com/data/cover/134/133051.jpg,https://data.chiasenhac.com/down2/2142/6/2141541-c041d2f6/128/Ta%20Tuyet%20Nhat%20Ma%20-%20Tran%20Tuan%20Kha_%20Fer_%20J.mp3,https://vi.chiasenhac.vn/nghe-album/ta-tuyet-nhat-ma-xss7zqt0qt1efn.html
23,Nhà Anh Nhà Em,H2K,https://data.chiasenhac.com/data/cover/134/133050.jpg,https://data.chiasenhac.com/down2/2142/6/2141540-65b94dd9/128/Nha%20Anh%20Nha%20Em%20-%20H2K.mp3,https://vi.chiasenhac.vn/nghe-album/nha-anh-nha-em-single-xss7zqtzqt1ef1.html
24,Môi Mưa,Phúc Lâm,https://data.chiasenhac.com/data/cover/134/133029.jpg,https://data.chiasenhac.com/down2/2142/6/2141467-ef0f5ed0/128/Moi%20Mua%20-%20Phuc%20Lam.mp3,https://vi.chiasenhac.vn/nghe-album/moi-mua-single-xss7zt06qt1fnk.html
25,One Love,Koo,https://data.chiasenhac.com/data/cover/134/133021.jpg,https://data.chiasenhac.com/down2/2142/6/2141428-65e0e682/128/One%20Love%20-%20Koo.mp3,https://vi.chiasenhac.vn/nghe-album/one-love-single-xss7zt0qqt1fne.html
26,Đồ Hộp Vị Thất Tình,Phạm Hồng Phước,https://data.chiasenhac.com/data/cover/134/133020.jpg,https://data.chiasenhac.com/down2/2142/6/2141423-b9e1a550/128/Do%20Hop%20Vi%20That%20Tinh%20-%20Pham%20Hong%20Phuoc.mp3,https://vi.chiasenhac.vn/nghe-album/do-hop-vi-that-tinh-single-xss7zt0tqt1fnf.html
27,Em Bước Một Mình,Lương Vy Hảo,https://data.chiasenhac.com/data/cover/134/133019.jpg,https://data.chiasenhac.com/down2/2142/6/2141393-e9180096/128/Em%20Buoc%20Mot%20Minh%20-%20Luong%20Vy%20Hao.mp3,https://vi.chiasenhac.vn/nghe-album/em-buoc-mot-minh-single-xss7ztz0qt1f1n.html
28,Đô Trưởng,Đạt G,https://data.chiasenhac.com/data/cover/134/133018.jpg,https://data.chiasenhac.com/down2/2142/6/2141392-cae2bfd8/128/Do%20Truong%20-%20Dat%20G.mp3,https://vi.chiasenhac.vn/nghe-album/do-truong-single-xss7ztzzqt1f11.html
29,Role Models,Trungng and Toska and Left Hand,https://data.chiasenhac.com/data/cover/134/133017.jpg,https://data.chiasenhac.com/down2/2142/6/2141391-9e27e5b2/128/Role%20Models%20-%20Trungng_%20Toska_%20Left%20Hand.mp3,https://vi.chiasenhac.vn/nghe-album/role-models-single-xss7ztzvqt1f12.html
30,Ái Thê,Lê Minh Hiếu,https://data.chiasenhac.com/data/cover/133/132991.jpg,https://data.chiasenhac.com/down2/2142/6/2141293-34330f59/128/Ai%20The%20-%20Le%20Minh%20Hieu.mp3,https://vi.chiasenhac.vn/nghe-album/ai-the-single-xss7ztvcqt1f2v.html
31,Nhạc Anh,Andree and  Wxrdie,https://data.chiasenhac.com/data/cover/133/132973.jpg,https://data.chiasenhac.com/down2/2142/6/2141223-7d6a4fe9/128/Nhac%20Anh%20-%20Andree_%20Wxrdie.mp3,https://vi.chiasenhac.vn/nghe-album/nhac-anh-singer-xss7zt3qqt1fwe.html
32,Cách Xa,Dương Yến Phi,https://data.chiasenhac.com/data/cover/133/132969.jpg,https://data.chiasenhac.com/down2/2142/6/2141199-acd4e6a0/128/Cach%20Xa%20-%20Duong%20Yen%20Phi.mp3,https://vi.chiasenhac.vn/nghe-album/cach-xa-single-xss7ztsvqt1f42.html
33,Muôn Trùng Khơi,Đức Hati,https://data.chiasenhac.com/data/cover/133/132968.jpg,https://data.chiasenhac.com/down2/2142/6/2141198-220e6cd1/128/Muon%20Trung%20Khoi%20-%20Duc%20Hati.mp3,https://vi.chiasenhac.vn/nghe-album/muon-trung-khoi-single-xss7zts3qt1f4w.html
34,Cố Chấp Thương Em,Trường Khang,https://data.chiasenhac.com/data/cover/133/132967.jpg,https://data.chiasenhac.com/down2/2142/6/2141196-fe0eaa39/128/Co%20Chap%20Thuong%20Em%20-%20Truong%20Khang.mp3,https://vi.chiasenhac.vn/nghe-album/co-chap-thuong-em-single-xss7ztssqt1f44.html
35,Điều Khó Nhất,Nguyễn Thạc Bảo Ngọc,https://data.chiasenhac.com/data/cover/133/132966.jpg,https://data.chiasenhac.com/down2/2142/6/2141192-54bd7f3f/128/Dieu%20Kho%20Nhat%20-%20Nguyen%20Thac%20Bao%20Ngoc.mp3,https://vi.chiasenhac.vn/nghe-album/dieu-kho-nhat-single-xss7zts5qt1f4h.html
36,Tình Nồng,Dee Trần,https://data.chiasenhac.com/data/cover/133/132965.jpg,https://data.chiasenhac.com/down2/2142/6/2141190-0367a330/128/Tinh%20Nong%20-%20Dee%20Tran.mp3,https://vi.chiasenhac.vn/nghe-album/tinh-nong-single-xss7zts6qt1f4k.html
37,Cuối Cùng Cho Một Tình Yêu,Hà Thanh Lịch,https://data.chiasenhac.com/data/cover/133/132950.jpg,https://data.chiasenhac.com/down2/2142/6/2141116-2d5ade1a/128/Cuoi%20Cung%20Cho%20Mot%20Tinh%20Yeu%20-%20Ha%20Thanh%20Li.mp3,https://vi.chiasenhac.vn/nghe-album/u-thoi-anh-ve-xss7zt55qt1fhh.html
38,Xin Mặt Trời Ngủ Yên,Hà Thanh Lịch,https://data.chiasenhac.com/data/cover/133/132949.jpg,https://data.chiasenhac.com/down2/2142/6/2141105-a206c005/128/Xin%20Mat%20Troi%20Ngu%20Yen%20-%20Ha%20Thanh%20Lich.mp3,https://vi.chiasenhac.vn/nghe-album/ha-trang-white-summer-nhac-si-trinh-cong-son-xss7zt56qt1fhk.html
39,Cảm Ơn Tình Yêu,DJ TUS  and Thanh Nguyễn,https://data.chiasenhac.com/data/cover/133/132945.jpg,https://data.chiasenhac.com/down2/2142/6/2141074-4ce6f87e/128/Cam%20On%20Tinh%20Yeu%20-%20DJ%20TUS%20Thanh%20Nguyen.mp3,https://vi.chiasenhac.vn/nghe-album/cam-on-tinh-yeu-singer-xss7zt5rqt1fha.html
40,Mị (Ngược Mơ),NiteD,https://data.chiasenhac.com/data/cover/133/132944.jpg,https://data.chiasenhac.com/down2/2142/6/2141073-10f5cacf/128/Mi%20Nguoc%20Mo_%20-%20NiteD.mp3,https://vi.chiasenhac.vn/nghe-album/mi-nguoc-mo-singer-xss7zt5bqt1fhq.html
41,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,https://data.chiasenhac.com/data/cover/133/132943.jpg,https://data.chiasenhac.com/down2/2142/6/2141072-7098b790/128/Chung%20Ta%20Cua%20Hien%20Tai%20-%20Son%20Tung%20M-TP.mp3,https://vi.chiasenhac.vn/nghe-album/chung-ta-cua-hien-tai-single-xss7zt5cqt1fhv.html
42,Miền Tây Thương Nhớ,Dương Hồng Loan,https://data.chiasenhac.com/data/cover/133/132941.jpg,https://data.chiasenhac.com/down2/2142/6/2141055-2230a832/128/Mien%20Tay%20Thuong%20Nho%20-%20Duong%20Hong%20Loan.mp3,https://vi.chiasenhac.vn/nghe-album/mien-tay-thuong-nho-ep-xss7zt5qqt1fhe.html
43,Vì Em Hay Vì Tôi,G5R Squad and Ngắn,https://data.chiasenhac.com/data/cover/133/132940.jpg,https://data.chiasenhac.com/down2/2142/6/2141054-5dccbfa0/128/Vi%20Em%20Hay%20Vi%20Toi%20-%20G5R%20Squad_%20Ngan.mp3,https://vi.chiasenhac.vn/nghe-album/vi-em-hay-vi-toi-single-xss7zt5tqt1fhf.html
44,Tư Tình 2,Jang Nguyễn,https://data.chiasenhac.com/data/cover/133/132939.jpg,https://data.chiasenhac.com/down2/2142/6/2141053-a47febb4/128/Tu%20Tinh%202%20-%20Jang%20Nguyen.mp3,https://vi.chiasenhac.vn/nghe-album/tu-tinh-2-single-xss7zt60qt1fkn.html
45,Níu Duyên (Cover),Hương Ly,https://data.chiasenhac.com/data/cover/133/132934.jpg,https://data.chiasenhac.com/down2/2142/6/2141017-52e6107c/128/Niu%20Duyen%20Cover_%20-%20Huong%20Ly.mp3,https://vi.chiasenhac.vn/nghe-album/niu-duyen-single-xss7zt65qt1fkh.html
46,Ngôi Nhà Hoa Hồng x Mỗi Người Một Nơi (BIBO Remix),Various Artists,https://data.chiasenhac.com/data/cover/133/132919.jpg,https://data.chiasenhac.com/down2/2141/6/2140830-ab144cf6/128/Ngoi%20Nha%20Hoa%20Hong%20x%20Moi%20Nguoi%20Mot%20Noi%20BI.mp3,https://vi.chiasenhac.vn/nghe-album/ngoi-nha-hoa-hong-x-moi-nguoi-mot-noi-bibo-remix-xss7zt7sqt1ft4.html
47,Midnight Love,girl in red,https://data.chiasenhac.com/data/cover/133/132905.jpg,https://data.chiasenhac.com/down2/2141/6/2140733-ef39fd15/128/Midnight%20Love%20-%20girl%20in%20red.mp3,https://vi.chiasenhac.vn/nghe-album/midnight-love-single-xss7ztmvqt1f82.html
48,Đi Về Nhà,Đen and  JustaTee,https://data.chiasenhac.com/data/cover/133/132896.jpg,https://data.chiasenhac.com/down2/2141/6/2140695-2cd7cba0/128/Di%20Ve%20Nha%20-%20Den_%20JustaTee.mp3,https://vi.chiasenhac.vn/nghe-album/di-ve-nha-single-xss7ztmbqt1f8q.html
49,Đêm Giáng Sinh An Lành,Hiền Thục,https://data.chiasenhac.com/data/cover/133/132894.jpg,https://data.chiasenhac.com/down2/2141/6/2140687-af988efd/128/Dem%20Giang%20Sinh%20An%20Lanh%20-%20Hien%20Thuc.mp3,https://vi.chiasenhac.vn/nghe-album/dem-giang-sinh-an-lanh-single-xss7ztmdqt1f8m.html
50,Người Yêu Đeo Kính,Đông and DEKSY and Ngân Tây,https://data.chiasenhac.com/data/cover/133/132893.jpg,https://data.chiasenhac.com/down2/2141/6/2140686-852e3ab7/128/Nguoi%20Yeu%20Deo%20Kinh%20-%20Dong_%20DEKSY_%20Ngan%20T.mp3,https://vi.chiasenhac.vn/nghe-album/nguoi-yeu-deo-kinh-single-xss7ztmqqt1f8e.html
51,In Me,Nắng,https://data.chiasenhac.com/data/cover/133/132892.jpg,https://data.chiasenhac.com/down2/2141/6/2140680-d6f38d4a/128/In%20Me%20-%20Nang.mp3,https://vi.chiasenhac.vn/nghe-album/in-me-single-xss7ztmtqt1f8f.html
52,Em Ơi Đừng Khóc,Hoàng Thống,https://data.chiasenhac.com/data/cover/133/132891.jpg,https://data.chiasenhac.com/down2/2141/6/2140679-6ddfb3ba/128/Em%20Oi%20Dung%20Khoc%20-%20Hoang%20Thong.mp3,https://vi.chiasenhac.vn/nghe-album/em-oi-dung-khoc-single-xss7ztw0qt1f9n.html
53,Nếu Mai Này Xa Nhau,Hoà Minzy,https://data.chiasenhac.com/data/cover/133/132890.jpg,https://data.chiasenhac.com/down2/2141/6/2140677-34958be6/128/Neu%20Mai%20Nay%20Xa%20Nhau%20-%20Hoa%20Minzy.mp3,https://vi.chiasenhac.vn/nghe-album/neu-mai-nay-xa-nhau-single-xss7ztwzqt1f91.html
54,Mật Danh Bi Long (Bi Long Đại Ca OST),INSOLENT and NALO and Roki and CM1X,https://data.chiasenhac.com/data/cover/133/132888.jpg,https://data.chiasenhac.com/down2/2141/6/2140672-71226fee/128/Mat%20Danh%20Bi%20Long%20Bi%20Long%20Dai%20Ca%20OST_%20-%20I.mp3,https://vi.chiasenhac.vn/nghe-album/mat-danh-bi-long-bi-long-dai-ca-ost-single-xss7ztw3qt1f9w.html
55,Anh Không Quan Tâm,BabyRed and YuniBoo and JokeS Bii,https://data.chiasenhac.com/data/cover/133/132887.jpg,https://data.chiasenhac.com/down2/2141/6/2140670-cb70d9a7/128/Anh%20Khong%20Quan%20Tam%20-%20BabyRed_%20YuniBoo_%20J.mp3,https://vi.chiasenhac.vn/nghe-album/anh-khong-quan-tam-single-xss7ztwsqt1f94.html
56,Cứ Ngỡ Trọn Đời,Đạt Khói,https://data.chiasenhac.com/data/cover/133/132886.jpg,https://data.chiasenhac.com/down2/2141/6/2140669-e25149f8/128/Cu%20Ngo%20Tron%20Doi%20-%20Dat%20Khoi.mp3,https://vi.chiasenhac.vn/nghe-album/cu-ngo-tron-doi-single-xss7ztw5qt1f9h.html
57,Sẽ Ổn Thôi,T-Pame,https://data.chiasenhac.com/data/cover/133/132884.jpg,https://data.chiasenhac.com/down2/2141/6/2140663-5c02b0a3/128/Se%20On%20Thoi%20-%20T-Pame.mp3,https://vi.chiasenhac.vn/nghe-album/se-on-thoi-single-xss7ztw7qt1f9t.html
58,2 Phút Hơn (KAIZ Remix),Pháo,https://data.chiasenhac.com/data/cover/133/132833.jpg,https://data.chiasenhac.com/down2/2141/6/2140425-f8f36473/128/2%20Phut%20Hon%20KAIZ%20Remix_%20-%20Phao.mp3,https://vi.chiasenhac.vn/nghe-album/2-phut-hon-kaiz-remix-single-xss7ztcrqt1fva.html
59,Đợi Một Chút Thôi,Vũ Thảo My,https://data.chiasenhac.com/data/cover/133/132832.jpg,https://data.chiasenhac.com/down2/2141/6/2140417-703ec1a2/128/Doi%20Mot%20Chut%20Thoi%20-%20Vu%20Thao%20My.mp3,https://vi.chiasenhac.vn/nghe-album/doi-mot-chut-thoi-single-xss7ztcbqt1fvq.html
60,Chờ Ngày Người Ấy Đồng Ý (DuyNH Remix),Keyo,https://data.chiasenhac.com/data/cover/133/132830.jpg,https://data.chiasenhac.com/down2/2141/6/2140415-341d9989/128/Cho%20Ngay%20Nguoi%20Ay%20Dong%20Y%20DuyNH%20Remix_%20-.mp3,https://vi.chiasenhac.vn/nghe-album/cho-ngay-nguoi-ay-dong-y-duynh-remix-single-xss7ztcdqt1fvm.html
61,Lo Xa,Tiên Tiên,https://data.chiasenhac.com/data/cover/133/132829.jpg,https://data.chiasenhac.com/down2/2141/6/2140414-382c84d4/128/Lo%20Xa%20-%20Tien%20Tien.mp3,https://vi.chiasenhac.vn/nghe-album/lo-xa-single-xss7ztcqqt1fve.html
62,Tận Cùng Tuổi Thanh Xuân,Thiên Cầm and Công Trí,https://data.chiasenhac.com/data/cover/133/132828.jpg,https://data.chiasenhac.com/down2/2141/6/2140409-2665abe3/128/Tan%20Cung%20Tuoi%20Thanh%20Xuan%20-%20Thien%20Cam_%20Co.mp3,https://vi.chiasenhac.vn/nghe-album/tan-cung-tuoi-thanh-xuan-single-xss7ztctqt1fvf.html
63,Mộng Hoa Dại,Nhi KaPy,https://data.chiasenhac.com/data/cover/133/132827.jpg,https://data.chiasenhac.com/down2/2141/6/2140408-de965ab0/128/Mong%20Hoa%20Dai%20-%20Nhi%20KaPy.mp3,https://vi.chiasenhac.vn/nghe-album/mong-hoa-dai-single-xss7ztd0qt1fmn.html
64,Chờ Em,Khánh Phong,https://data.chiasenhac.com/data/cover/133/132826.jpg,https://data.chiasenhac.com/down2/2141/6/2140406-6532c854/128/Cho%20Em%20-%20Khanh%20Phong.mp3,https://vi.chiasenhac.vn/nghe-album/cho-em-single-xss7ztdzqt1fm1.html
65,Cafuné,Thái Đinh and Pixel Neko,https://data.chiasenhac.com/data/cover/133/132804.jpg,https://data.chiasenhac.com/down2/2141/6/2140213-6933017e/128/Cafune%20-%20Thai%20Dinh_%20Pixel%20Neko.mp3,https://vi.chiasenhac.vn/nghe-album/bai-hat-so-8-xss7ztq7qt1fet.html
66,Chỉ Có Thể Là Yêu,Ngô Kiến Huy and Chí Tâm,https://data.chiasenhac.com/data/cover/133/132777.jpg,https://data.chiasenhac.com/down2/2141/6/2140076-6e742e48/128/Chi%20Co%20The%20La%20Yeu%20-%20Ngo%20Kien%20Huy_%20Chi%20Ta.mp3,https://vi.chiasenhac.vn/nghe-album/chi-co-the-la-yeu-single-xss7v00vqt2nn2.html
67,Hết Thật Rồi,T.R.I,https://data.chiasenhac.com/data/cover/133/132775.jpg,https://data.chiasenhac.com/down2/2141/6/2140063-07156fdb/128/Het%20That%20Roi%20-%20T_R_I.mp3,https://vi.chiasenhac.vn/nghe-album/het-that-roi-single-xss7v00sqt2nn4.html
68,Vì Yêu Là Đau,Nhi Nhi and Ben B,https://data.chiasenhac.com/data/cover/133/132773.jpg,https://data.chiasenhac.com/down2/2141/6/2140046-8d437479/128/Vi%20Yeu%20La%20Dau%20-%20Nhi%20Nhi_%20Ben%20B.mp3,https://vi.chiasenhac.vn/nghe-album/vi-yeu-la-dau-single-xss7v006qt2nnk.html
69,Tâm Tình Sinh Viên,Nguyễn Văn Thông and Võ Đình Hiếu,https://data.chiasenhac.com/data/cover/133/132772.jpg,https://data.chiasenhac.com/down2/2141/6/2140044-e052ee3e/128/Tam%20Tinh%20Sinh%20Vien%20-%20Nguyen%20Van%20Thong_%20V.mp3,https://vi.chiasenhac.vn/nghe-album/tam-tinh-sinh-vien-single-xss7v007qt2nnt.html
70,Hạnh Phúc Hóa Niềm Đau,Nam Vương Bảo Lê,https://data.chiasenhac.com/data/cover/133/132771.jpg,https://data.chiasenhac.com/down2/2141/6/2140043-800f833d/128/Hanh%20Phuc%20Hoa%20Niem%20Dau%20-%20Nam%20Vuong%20Bao%20L.mp3,https://vi.chiasenhac.vn/nghe-album/hanh-phuc-hoa-niem-dau-single-xss7v00mqt2nn8.html
71,Deja Vu,The Sheep,https://data.chiasenhac.com/data/cover/133/132726.jpg,https://data.chiasenhac.com/down2/2140/6/2139885-b1063140/128/Deja%20Vu%20-%20The%20Sheep.mp3,https://vi.chiasenhac.vn/nghe-album/deja-vu-single-xss7v035qt2nwh.html
72,Nàng Thơ,Hoàng Dũng,https://data.chiasenhac.com/data/cover/133/132725.jpg,https://data.chiasenhac.com/down2/2140/6/2139884-c5f3b070/128/Nang%20Tho%20-%20Hoang%20Dung.mp3,https://vi.chiasenhac.vn/nghe-album/25-xss7v036qt2nwk.html
73,Thích Anh Từ Lúc Nào,Lan Hương,https://data.chiasenhac.com/data/cover/133/132721.jpg,https://data.chiasenhac.com/down2/2140/6/2139844-46c5875b/128/Thich%20Anh%20Tu%20Luc%20Nao%20-%20Lan%20Huong.mp3,https://vi.chiasenhac.vn/nghe-album/thich-anh-tu-luc-nao-single-xss7v03rqt2nwa.html
74,Chờ Ai,Night,https://data.chiasenhac.com/data/cover/133/132720.jpg,https://data.chiasenhac.com/down2/2140/6/2139843-cc607698/128/Cho%20Ai%20-%20Night.mp3,https://vi.chiasenhac.vn/nghe-album/cho-ai-single-xss7v03bqt2nwq.html
75,Cướp Đi Cả Thế Giới (Rap Version),Bảo Yến Rosie and Jombie and Great,https://data.chiasenhac.com/data/cover/133/132719.jpg,https://data.chiasenhac.com/down2/2140/6/2139842-1a04f51c/128/Cuop%20Di%20Ca%20The%20Gioi%20Rap%20Version_%20-%20Bao%20Y.mp3,https://vi.chiasenhac.vn/nghe-album/cuop-di-ca-the-gioi-rap-version-single-xss7v03cqt2nwv.html
76,Gọi Em Là Đóa Hoa Sầu,Đỗ Tùng Lâm,https://data.chiasenhac.com/data/cover/133/132716.jpg,https://data.chiasenhac.com/down2/2140/6/2139834-caa85c13/128/Goi%20Em%20La%20Doa%20Hoa%20Sau%20-%20Do%20Tung%20Lam.mp3,https://vi.chiasenhac.vn/nghe-album/tuyet-pham-van-cao-pham-duy-goi-em-la-doa-hoa-sau-xss7v03tqt2nwf.html
77,Một Người Rất Tốt (WRC Remix),Gia Huy Singer,https://data.chiasenhac.com/data/cover/133/132714.jpg,https://data.chiasenhac.com/down2/2140/6/2139830-2255296e/128/Mot%20Nguoi%20Rat%20Tot%20WRC%20Remix_%20-%20Gia%20Huy%20S.mp3,https://vi.chiasenhac.vn/nghe-album/mot-nguoi-rat-tot-singer-xss7v0szqt2n41.html
78,Em Là Món Quà,APJ and Kiper T,https://data.chiasenhac.com/data/cover/133/132711.jpg,https://data.chiasenhac.com/down2/2140/6/2139820-a6b5652b/128/Em%20La%20Mon%20Qua%20-%20APJ_%20Kiper%20T.mp3,https://vi.chiasenhac.vn/nghe-album/em-la-mon-qua-single-xss7v0ssqt2n44.html
